frame_id,maneuver_type,maneuver_type
102,Straight,Straight
103,Straight,Straight
104,Straight,Straight
105,Straight,Straight
106,Straight,Straight
107,Straight,Straight
108,Straight,Straight
109,Straight,Straight
110,Straight,Straight
111,Straight,Straight
112,Straight,Straight
113,Straight,Straight
114,Straight,Straight
115,Straight,Straight
116,Straight,Straight
117,Straight,Straight
118,Straight,Straight
119,Straight,Straight
120,Straight,Straight
121,Straight,Straight
122,Straight,Straight
123,Straight,Straight
124,Straight,Straight
125,Straight,Straight
126,Straight,Straight
127,Straight,Straight
128,Straight,Straight
129,Straight,Straight
130,Straight,Straight
131,Straight,Straight
132,Straight,Straight
133,Straight,Straight
134,Straight,Straight
135,Straight,Straight
136,Straight,Straight
137,Straight,Straight
138,Straight,Straight
139,Straight,Straight
140,Straight,Straight
141,Straight,Straight
142,Straight,Straight
143,Straight,Straight
144,Straight,Straight
145,Straight,Straight
146,Straight,Straight
147,Straight,Straight
148,Straight,Straight
149,Turn Right,Straight
150,Turn Right,Straight
151,Turn Right,Straight
152,Turn Right,Straight
153,Turn Right,Straight
154,Turn Right,Straight
155,Turn Right,Straight
156,Turn Right,Straight
157,Turn Right,Straight
158,Turn Right,Straight
159,Turn Right,Straight
160,Turn Right,Straight
161,Turn Right,Straight
162,Turn Right,Straight
163,Turn Right,Straight
164,Turn Right,Straight
165,Turn Right,Straight
166,Turn Right,Straight
167,Turn Right,Turn Right
168,Turn Right,Turn Right
169,Turn Right,Turn Right
170,Turn Right,Turn Right
171,Turn Right,Turn Right
172,Turn Right,Turn Right
173,Turn Right,Turn Right
174,Turn Right,Turn Right
175,Turn Right,Turn Right
176,Turn Right,Turn Right
177,Turn Right,Turn Right
178,Turn Right,Turn Right
179,Turn Right,Turn Right
180,Turn Right,Turn Right
181,Turn Right,Turn Right
182,Turn Right,Turn Right
183,Turn Right,Turn Right
184,Turn Right,Turn Right
185,Turn Right,Turn Right
186,Turn Right,Turn Right
187,Turn Right,Turn Right
188,Turn Right,Turn Right
189,Turn Right,Turn Right
190,Turn Right,Turn Right
191,Turn Right,Turn Right
192,Turn Right,Turn Right
193,Turn Right,Turn Right
194,Turn Right,Turn Right
195,Turn Right,Turn Right
196,Turn Right,Turn Right
197,Turn Right,Turn Right
198,Turn Right,Turn Right
199,Turn Right,Turn Right
200,Turn Right,Turn Right
201,Turn Right,Turn Right
202,Turn Right,Turn Right
203,Turn Right,Turn Right
204,Turn Right,Turn Right
205,Turn Right,Turn Right
206,Turn Right,Turn Right
207,Turn Right,Turn Right
208,Turn Right,Turn Right
209,Turn Right,Turn Right
210,Turn Right,Turn Right
211,Turn Right,Turn Right
212,Turn Right,Turn Right
213,Turn Right,Turn Right
214,Turn Right,Turn Right
215,Turn Right,Turn Right
216,Turn Right,Turn Right
217,Turn Right,Turn Right
218,Turn Right,Turn Right
219,Straight,Turn Right
220,Straight,Turn Right
221,Straight,Turn Right
222,Straight,Turn Right
223,Straight,Turn Right
224,Straight,Turn Right
225,Straight,Turn Right
226,Straight,Turn Right
227,Straight,Turn Right
228,Straight,Straight
229,Straight,Straight
230,Straight,Straight
231,Straight,Straight
232,Straight,Straight
233,Straight,Straight
234,Straight,Straight
235,Straight,Straight
236,Straight,Straight
237,Straight,Straight
238,Straight,Straight
239,Straight,Straight
240,Straight,Straight
241,Straight,Straight
242,Straight,Straight
243,Straight,Straight
244,Straight,Straight
245,Straight,Straight
246,Straight,Straight
247,Straight,Straight
248,Straight,Straight
249,Straight,Straight
250,Straight,Straight
251,Straight,Straight
252,Straight,Straight
253,Straight,Straight
254,Straight,Straight
255,Straight,Straight
256,Straight,Straight
257,Straight,Straight
258,Straight,Straight
259,Straight,Straight
260,Straight,Straight
261,,Straight
262,,Right lane change
263,,Right lane change
264,,Right lane change
265,,Right lane change
266,,Right lane change
267,,Right lane change
268,,Right lane change
269,Straight,Right lane change
270,,Right lane change
271,Straight,Right lane change
272,Straight,Right lane change
273,Straight,Right lane change
274,Straight,Right lane change
275,Straight,Right lane change
276,Straight,Right lane change
277,Straight,Right lane change
278,Straight,Right lane change
279,Straight,Right lane change
280,,Right lane change
281,Straight,Right lane change
282,,Right lane change
283,,Right lane change
284,,Right lane change
285,Straight,Right lane change
286,,Right lane change
287,Straight,Right lane change
288,,Right lane change
289,Straight,Right lane change
290,,Right lane change
291,,Right lane change
292,,Right lane change
293,,Right lane change
294,,Right lane change
295,,Right lane change
296,Straight,Right lane change
297,Straight,Right lane change
298,Straight,Right lane change
299,Straight,Right lane change
300,Straight,Right lane change
301,Straight,Right lane change
302,Straight,Right lane change
303,Straight,Right lane change
304,Straight,Right lane change
305,Straight,Right lane change
306,Straight,Right lane change
307,Straight,Right lane change
308,Straight,Right lane change
309,Straight,Right lane change
310,Straight,Right lane change
311,Straight,Right lane change
312,Straight,Right lane change
313,Straight,Right lane change
314,Straight,Right lane change
315,,Right lane change
316,,Right lane change
317,,Right lane change
318,,Right lane change
319,,Right lane change
320,,Right lane change
321,,Right lane change
322,,Right lane change
323,,Right lane change
324,,Right lane change
325,,Right lane change
326,,Right lane change
327,,Right lane change
328,,Right lane change
329,,Right lane change
330,,Right lane change
331,,Right lane change
332,,Right lane change
333,,Right lane change
334,,Right lane change
335,,Right lane change
336,,Right lane change
337,,Right lane change
338,,Right lane change
339,Right lane change,Right lane change
340,Right lane change,Right lane change
341,Right lane change,Right lane change
342,Right lane change,Right lane change
343,Right lane change,Straight
344,Right lane change,Straight
345,Right lane change,Straight
346,Right lane change,Straight
347,Right lane change,Straight
348,Right lane change,Straight
349,Right lane change,Straight
350,Right lane change,Straight
351,Right lane change,Straight
352,Right lane change,Straight
353,Right lane change,Straight
354,Right lane change,Straight
355,Right lane change,Straight
356,Right lane change,Straight
357,Right lane change,Straight
358,Right lane change,Straight
359,Right lane change,Straight
360,Right lane change,Straight
361,Right lane change,Straight
362,Right lane change,Straight
363,Right lane change,Straight
364,Right lane change,Straight
365,Right lane change,Straight
366,Right lane change,Straight
367,Right lane change,Straight
368,Right lane change,Straight
369,Right lane change,Straight
370,Right lane change,Straight
371,Right lane change,Straight
372,Right lane change,Straight
373,Right lane change,Straight
374,Right lane change,Straight
375,Right lane change,Straight
376,Right lane change,Straight
377,Right lane change,Straight
378,Right lane change,Straight
379,Right lane change,Straight
380,Right lane change,Straight
381,Right lane change,Straight
382,Right lane change,Straight
383,Right lane change,Straight
384,Right lane change,Straight
385,Right lane change,Straight
386,Right lane change,Straight
387,Right lane change,Straight
388,Right lane change,
389,Right lane change,
390,Right lane change,
391,Right lane change,
392,Right lane change,
393,Right lane change,
394,Right lane change,
395,Right lane change,
396,Right lane change,
397,Right lane change,
398,Right lane change,
399,Turn Left,
400,Turn Left,
401,Turn Left,
402,Turn Left,
403,Turn Left,
404,Turn Left,
405,Turn Left,
406,Turn Left,
407,Turn Left,
408,Turn Left,
409,Turn Left,
410,Turn Left,
411,Turn Left,
412,Turn Left,
413,Turn Left,
414,Turn Left,
415,Turn Left,
416,Turn Left,
417,Turn Left,
418,Turn Left,
419,Turn Left,
420,Turn Left,
421,Turn Left,
422,Turn Left,
423,Turn Left,
424,Turn Left,
425,Turn Left,
426,Turn Left,
427,Turn Left,
428,Turn Left,
429,Turn Left,
430,Turn Left,
431,Turn Left,
432,Turn Left,
433,Turn Left,
434,Turn Left,
435,Turn Left,
436,Turn Left,
437,Turn Left,
438,Turn Left,
439,Turn Left,
440,Turn Left,
441,Turn Left,
442,Turn Left,
443,Turn Left,
444,Turn Left,
445,Turn Left,
446,Turn Left,
447,Turn Left,
448,Turn Left,
449,Turn Left,
450,Turn Left,
451,Turn Left,
452,Turn Left,
453,Turn Left,
454,Turn Left,
455,Turn Left,
456,Turn Left,
457,Turn Left,
458,Turn Left,
459,Turn Left,
460,Turn Left,
461,Turn Left,
462,Turn Left,
463,Turn Left,
464,Turn Left,
465,Turn Left,
466,Turn Left,
467,Turn Left,
468,Turn Left,
469,Turn Left,
470,Turn Left,
471,Turn Left,
472,Turn Left,
473,Turn Left,
474,Turn Left,
475,Turn Left,
476,Turn Left,
477,Turn Left,
478,Straight,
479,Straight,
480,Straight,
481,Straight,
482,Straight,
483,Straight,
484,Straight,
485,Straight,
486,Straight,
487,Straight,
488,Straight,
489,Straight,
490,Straight,
491,Straight,
492,Straight,
493,Straight,
494,Straight,
495,Straight,
496,Straight,
497,Straight,
498,Straight,
499,Straight,
500,Straight,
501,Straight,
502,Straight,
503,Straight,
504,Straight,
505,Straight,
506,Straight,
507,Straight,
508,Straight,
509,Straight,
510,Straight,
511,Straight,
512,Straight,
513,Straight,
514,Straight,
515,Straight,
516,Straight,
517,Straight,
518,Straight,
519,Straight,
520,Straight,
521,Straight,
522,Straight,
523,Straight,
524,Straight,
525,Straight,
526,Straight,
527,Straight,
528,Turn Right,
529,Turn Right,
530,Turn Right,
531,Turn Right,
532,Turn Right,
533,Turn Right,
534,Turn Right,
535,Turn Right,
536,Turn Right,
537,Turn Right,
538,Turn Right,
539,Turn Right,
540,Turn Right,
541,Turn Right,
542,Turn Right,
543,Turn Right,
544,Turn Right,
545,Turn Right,
546,Turn Right,
547,Turn Right,
548,Turn Right,
549,Turn Right,
550,Turn Right,
551,Turn Right,
552,Turn Right,
553,Turn Right,
554,Turn Right,
555,Turn Right,
556,Turn Right,
557,Turn Right,
558,Turn Right,
559,Turn Right,
560,Turn Right,
561,Turn Right,
562,Turn Right,
563,Turn Right,
564,Turn Right,
565,Turn Right,
566,Turn Right,
567,Turn Right,
568,Turn Right,
569,Turn Right,
570,Turn Right,
571,Turn Right,
572,Turn Right,
573,Turn Right,
574,Turn Right,
575,Turn Right,
576,Turn Right,
577,Turn Right,
578,Turn Right,
579,Turn Right,
580,Turn Right,
581,Turn Right,
582,Turn Right,
583,Turn Right,
584,Turn Right,
585,Turn Right,
586,Turn Right,
587,Turn Right,
588,Turn Right,
589,Turn Right,
590,Turn Right,
591,Turn Right,
592,Turn Right,
593,Turn Right,
594,Turn Right,
595,Turn Right,
596,Turn Right,
597,Turn Right,
598,Turn Right,
599,Turn Right,
600,Turn Right,
601,Turn Right,
602,Turn Right,
603,Turn Right,
604,Turn Right,
605,Turn Right,
606,Turn Right,
607,Turn Right,
608,Straight,
609,Straight,
610,Straight,
611,Straight,
612,Straight,
613,Straight,
614,Straight,
615,Straight,
616,Straight,
617,Straight,
618,Straight,
619,Straight,
620,Straight,
621,Straight,
622,Straight,
623,Straight,
624,Straight,
625,Straight,
626,Straight,
627,Straight,
628,Straight,
629,Straight,
630,Straight,
631,Straight,Straight
632,,Straight
633,,Straight
634,,
635,,
636,,
637,,
638,,
639,,Straight
640,,Straight
641,,Straight
642,,Straight
643,,Straight
644,,Straight
645,,Straight
646,,Straight
647,,Straight
648,Straight,Straight
649,Straight,Straight
650,,Straight
651,,Straight
652,,Straight
653,,Straight
654,,Straight
655,,Straight
656,,Straight
657,,Straight
658,,Straight
659,Straight,Straight
660,,Straight
661,Straight,Straight
662,Straight,Straight
663,Straight,Straight
664,,Straight
665,,Straight
666,,Straight
667,,Straight
668,,Straight
669,,Straight
670,,Straight
671,,Straight
672,,Straight
673,,Straight
674,,Straight
675,,Straight
676,,Straight
677,,Straight
678,,Straight
679,,Straight
680,,Straight
681,,Straight
682,,Straight
683,,Straight
684,,Straight
685,,Straight
686,,
687,,
688,,
689,,
690,Straight,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,
703,Straight,
704,,
705,,
706,,
707,,
708,,
709,,
710,,
711,,
712,Straight,
713,Straight,
714,Straight,
715,,
716,,
717,Straight,
718,,
719,Straight,
720,Straight,
721,,
722,Straight,Straight
723,,Straight
724,Straight,Straight
725,,Straight
726,,Straight
727,,Straight
728,,Straight
729,,Straight
730,,Straight
731,,Straight
732,,Straight
733,,Straight
734,,Straight
735,,Straight
736,,
737,,
738,,
739,,Turn Left
740,,Turn Left
741,,Turn Left
742,,Turn Left
743,,Turn Left
744,,Turn Left
745,,Turn Left
746,,Turn Left
747,,Turn Left
748,,Turn Left
749,,Turn Left
750,,Turn Left
751,,Turn Left
752,,Turn Left
753,,Turn Left
754,,Turn Left
755,,Turn Left
756,,Turn Left
757,,Turn Left
758,,Turn Left
759,,Turn Left
760,,Turn Left
761,,Turn Left
762,,Turn Left
763,,Turn Left
764,,Turn Left
765,,Turn Left
766,,Turn Left
767,,Turn Left
768,,Turn Left
769,,Turn Left
770,,Turn Left
771,,Turn Left
772,Straight,Turn Left
773,Straight,Turn Left
774,Straight,Turn Left
775,Straight,Turn Left
776,Straight,Turn Left
777,Straight,Turn Left
778,Straight,Turn Left
779,Straight,Turn Left
780,Straight,Turn Left
781,Straight,Turn Left
782,Straight,Turn Left
783,Straight,Turn Left
784,Straight,Turn Left
785,Straight,Turn Left
786,Straight,Turn Left
787,Turn Left,Turn Left
788,,Turn Left
789,,Turn Left
790,,Turn Left
791,,Turn Left
792,,Turn Left
793,,Turn Left
794,,Straight
795,,Straight
796,,Straight
797,,Straight
798,,Straight
799,,Straight
800,,Straight
801,,
802,,Straight
803,,Straight
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,Turn Left,
825,Turn Left,
826,Turn Left,
827,Turn Left,
828,Turn Left,
829,Turn Left,
830,Turn Left,
831,Turn Left,
832,Turn Left,
833,Turn Left,
834,Turn Left,
835,Turn Left,
836,Turn Left,
837,Turn Left,
838,Turn Left,
839,,
840,,Straight
841,,Straight
842,Turn Left,
843,Straight,
844,Straight,
845,Straight,
846,Straight,Straight
847,Straight,Straight
848,Straight,Straight
849,Straight,
850,,Straight
851,,Straight
852,,
853,,
854,,Straight
855,,Straight
856,,
857,,
858,,
859,,Straight
860,,Straight
861,,
862,,
863,,Straight
864,,
865,,
866,,
867,,
868,,Straight
869,,Straight
870,,Straight
871,,Straight
872,,Straight
873,,
874,,Turn Right
875,Straight,Turn Right
876,Straight,
877,Straight,
878,Straight,Turn Right
879,Straight,Turn Right
880,Straight,
881,Straight,
882,Straight,
883,Straight,
884,Straight,
885,Straight,
886,Straight,
887,Straight,
888,Straight,
889,Straight,
890,Straight,
891,Straight,
892,Straight,Turn Right
893,Straight,
894,Straight,
895,Straight,Turn Right
896,Straight,Turn Right
897,Straight,Turn Right
898,Straight,
899,Straight,
900,Straight,
901,Straight,
902,Straight,
903,Straight,Turn Right
904,Straight,Turn Right
905,Straight,Turn Right
906,Straight,
907,Straight,
908,Straight,Turn Right
909,Straight,Turn Right
910,Straight,Turn Right
911,Straight,Turn Right
912,Straight,Turn Right
913,Straight,Turn Right
914,Straight,
915,Straight,Turn Right
916,Straight,Turn Right
917,Straight,
918,Straight,Turn Right
919,Straight,
920,Straight,
921,Straight,
922,Straight,
923,,
924,Straight,
925,Straight,
926,Straight,
927,Straight,
928,Straight,
929,Straight,
930,Straight,
931,Straight,
932,Straight,
933,Straight,
934,Straight,
935,Straight,
936,Straight,
937,Straight,
938,Straight,
939,Straight,
940,Straight,
941,Straight,
942,Straight,
943,Straight,
944,Straight,
945,Straight,
946,Straight,
947,Straight,
948,Straight,
949,Straight,
950,Straight,Straight
951,Straight,Straight
952,,
953,Straight,Straight
954,Straight,Straight
955,Straight,Straight
956,Straight,Straight
957,,
958,Straight,Straight
959,Straight,Straight
960,Straight,Straight
961,Straight,Straight
962,Straight,Straight
963,Straight,Straight
964,Straight,Straight
965,Straight,
966,Straight,Straight
967,Straight,Straight
968,Straight,Straight
969,Straight,Straight
970,,Straight
971,Straight,Straight
972,,Straight
973,,
974,Straight,
975,Straight,Straight
976,Straight,Straight
977,,
978,Straight,Straight
979,Straight,
980,Straight,Straight
981,Straight,Straight
982,,
983,,
984,Straight,
985,,
986,Straight,Straight
987,,
988,,
989,,
990,,Straight
991,Straight,
992,,
993,,
994,,
995,,
996,Straight,
997,,
998,Straight,Straight
999,,Straight
1000,,
1001,,Straight
1002,,
1003,,
1004,,
1005,,
1006,Straight,
1007,,
1008,Straight,
1009,,
1010,,
1011,Straight,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,Straight,
1021,Straight,
1022,,
1023,,
1024,,
1025,Straight,
1026,,
1027,,
1028,,
1029,,
1030,Straight,
1031,,
1032,Straight,
1033,Straight,
1034,,
1035,Straight,
1036,,
1037,Straight,
1038,Straight,
1039,Straight,
1040,Straight,
1041,Straight,
1042,Straight,
1043,,
1044,,
1045,Straight,
1046,,
1047,Straight,
1048,Straight,
1049,Straight,
1050,Straight,
1051,Turn Right,
1052,Turn Right,
1053,Turn Right,
1054,Turn Right,
1055,Turn Right,
1056,Turn Right,
1057,Turn Right,
1058,Turn Right,
1059,Turn Right,
1060,Turn Right,
1061,Turn Right,
1062,Turn Right,
1063,Turn Right,
1064,Turn Right,
1065,Turn Right,
1066,Turn Right,
1067,Turn Right,
1068,Turn Right,
1069,Turn Right,
1070,Turn Right,
1071,Turn Right,
1072,Turn Right,
1073,Turn Right,
1074,Turn Right,
1075,Turn Right,
1076,Turn Right,
1077,Turn Right,
1078,Turn Right,
1079,Turn Right,
1080,Turn Right,
1081,Turn Right,
1082,Turn Right,
1083,Turn Right,
1084,Turn Right,
1085,Turn Right,
1086,Turn Right,
1087,Turn Right,
1088,Turn Right,
1089,Turn Right,
1090,Turn Right,
1091,Turn Right,
1092,Turn Right,
1093,Turn Right,
1094,Turn Right,
1095,Turn Right,
1096,Turn Right,
1097,Turn Right,
1098,Turn Right,Straight
1099,Turn Right,Straight
1100,Turn Right,Straight
1101,Turn Right,Straight
1102,Turn Right,Straight
1103,Turn Right,Straight
1104,Turn Right,Straight
1105,Straight,Straight
1106,Straight,Straight
1107,Straight,
1108,Straight,
1109,Straight,
1110,Straight,
1111,Straight,
1112,Straight,
1113,Straight,
1114,Straight,
1115,Straight,
1116,Straight,
1117,Straight,
1118,Straight,
1119,Straight,
1120,Straight,
1121,Straight,
1122,Straight,
1123,Straight,
1124,Straight,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,,Turn Left
1140,,Turn Left
1141,,Turn Left
1142,,Turn Left
1143,,Turn Left
1144,,Turn Left
1145,,Turn Left
1146,,Turn Left
1147,,Turn Left
1148,,Turn Left
1149,,
1150,,
1151,,Turn Left
1152,,
1153,,
1154,,Turn Left
1155,,Turn Left
1156,,
1157,,Turn Left
1158,,Turn Left
1159,,Turn Left
1160,,
1161,,Turn Left
1162,,Turn Left
1163,,Turn Left
1164,,Turn Left
1165,,Turn Left
1166,,Turn Left
1167,,Turn Left
1168,,Turn Left
1169,,Turn Left
1170,,Straight
1171,,Straight
1172,,Straight
1173,,Straight
1174,,
1175,,
1176,,
1177,,
1178,,
1179,,
1180,,
1181,,
1182,,
1183,,
1184,,
1185,,Straight
1186,,
1187,,
1188,,
1189,,
1190,,
1191,,
1192,,
1193,,
1194,,
1195,,
1196,,
1197,,
1198,,
1199,,
1200,,
1201,,
1202,,
1203,,
1204,,
1205,,
1206,,
1207,Straight,
1208,,
1209,,
1210,,
1211,,
1212,,
1213,,
1214,,
1215,,
1216,,
1217,,
1218,,
1219,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1226,,
1227,,
1228,,
1229,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1238,,
1239,,
1240,,
1241,,
1242,,
1243,,
1244,,
1245,,
1246,,
1247,,
1248,,
1249,,
1250,,
1251,,
1252,,
1253,,
1254,,
1255,,
1256,,
1257,,Straight
1258,,Straight
1259,,
1260,,
1261,,
1262,,
1263,,
1264,,
1265,,
1266,,
1267,,
1268,,
1269,,
1270,,
1271,,
1272,,
1273,,
1274,,
1275,,
1276,,Straight
1277,,Straight
1278,,Straight
1279,,Straight
1280,,Straight
1281,,Straight
1282,,Straight
1283,,Straight
1284,,Turn Right
1285,,
1286,,
1287,,
1288,,Turn Right
1289,,
1290,,
1291,,Turn Right
1292,,
1293,,
1294,,
1295,,
1296,,
1297,,Turn Right
1298,,Turn Right
1299,,
1300,,Turn Right
1301,,
1302,,
1303,,
1304,,
1305,,
1306,,
1307,,
1308,,
1309,,
1310,,Turn Right
1311,,Turn Right
1312,,
1313,,Turn Right
1314,,Turn Right
1315,,Turn Right
1316,,
1317,,
1318,,Turn Right
1319,,
1320,,
1321,,Turn Right
1322,,Turn Right
1323,,Turn Right
1324,,Turn Right
1325,,Turn Right
1326,,
1327,,
1328,,
1329,,
1330,,
1331,,
1332,,
1333,,
1334,,
1335,,
1336,,
1337,,
1338,,
1339,,
1340,,
1341,,
1342,,
1343,,
1344,,
1345,,
1346,,
1347,,Straight
1348,,
1349,,
1350,,
1351,,
1352,,
1353,,Straight
1354,,
1355,,Straight
1356,,Straight
1357,,Straight
1358,,
1359,,
1360,,
1361,,
1362,,
1363,,
1364,,
1365,,
1366,,
1367,,
1368,,
1369,,Straight
1370,,Straight
1371,,
1372,,
1373,,
1374,,
1375,,
1376,,
1377,,
1378,,
1379,,
1380,,
1381,,
1382,,
1383,,
1384,,
1385,,
1386,,
1387,,
1388,,
1389,,
1390,,
1391,,
1392,,
1393,,
1394,,
1395,,
1396,,
1397,,
1398,,
1399,,
1400,,
1401,,
1402,,
1403,,
1404,,
1405,,
1406,,
1407,,Straight
1408,,
1409,,Straight
1410,,Straight
1411,,
1412,,Straight
1413,,
1414,,Straight
1415,,
1416,,
1417,,
1418,,
1419,,
1420,,
1421,,
1422,,
1423,,
1424,,
1425,,
1426,,
1427,,
1428,,
1429,,
1430,,
1431,,
1432,,
1433,,
1434,,
1435,,
1436,,
1437,,
1438,,
1439,,
1440,,
1441,,
1442,,
1443,,
1444,,
1445,,
1446,,
1447,,
1448,,
1449,,
1450,,
1451,,
1452,,
1453,,
1454,,
1455,,
1456,,
1457,,
1458,,
1459,,
1460,,
1461,,
1462,,
1463,,
1464,,
1465,,
1466,,
1467,,
1468,,
1469,,
1470,,
1471,,
1472,,
1473,,
1474,,
1475,,
1476,,
1477,,
1478,,
1479,,
1480,,
1481,,
1482,,
1483,,
1484,,
1485,,
1486,,
1487,,
1488,Straight,
1489,Straight,
1490,,
1491,,
1492,,
1493,Straight,
1494,Straight,
1495,Straight,
1496,Straight,
1497,Straight,
1498,Straight,
1499,Straight,
1500,,
1501,Straight,
1502,,
1503,Straight,
1504,,
1505,Straight,
1506,,
1507,Straight,
1508,Straight,
1509,Straight,
1510,Straight,
1511,Straight,
1512,,
1513,,
1514,,
1515,,
1516,,
1517,,
1518,,
1519,Turn Right,
1520,Turn Right,
1521,,
1522,,
1523,Turn Right,
1524,,
1525,Turn Right,
1526,Turn Right,
1527,,
1528,,
1529,,
1530,,
1531,,
1532,,
1533,,
1534,,
1535,,
1536,,
1537,,
1538,,
1539,,
1540,,
1541,,
1542,,
1543,,
1544,,
1545,,
1546,,
1547,Turn Right,
1548,Turn Right,
1549,,
1550,Turn Right,
1551,Turn Right,
1552,Turn Right,
1553,Turn Right,
1554,Turn Right,
1555,Turn Right,
1556,Turn Right,
1557,Turn Right,
1558,Turn Right,
1559,Turn Right,
1560,Turn Right,
1561,Turn Right,
1562,Turn Right,
1563,Turn Right,
1564,,
1565,Turn Right,
1566,Turn Right,
1567,,
1568,,
1569,,
1570,,
1571,,
1572,,
1573,,
1574,,
1575,,
1576,,
1577,,
1578,,
1579,,
1580,Straight,
1581,Straight,
1582,,
1583,,
1584,Straight,
1585,Straight,
1586,Straight,
1587,,
1588,Straight,
1589,,
1590,Straight,
1591,,
1592,,
1593,,
1594,,
1595,,
1596,,
1597,,
1598,,
1599,,
1600,Straight,
1601,,
1602,,
1603,,
1604,,
1605,,
1606,,
1607,,
1608,,
1609,,
1610,,
1611,,
1612,,
1613,,
1614,,
1615,,
1616,,
1617,,
1618,,
1619,,
1620,,
1621,,
1622,,
1623,Straight,
1624,Straight,
1625,Straight,
1626,Straight,
1627,Straight,
1628,Straight,
1629,Straight,
1630,Straight,
1631,Straight,
1632,Straight,
1633,Straight,
1634,Straight,
1635,Straight,
1636,Straight,
1637,Straight,
1638,Straight,
1639,Straight,
1640,Straight,
1641,Straight,
1642,Straight,
1643,Straight,
1644,Straight,
1645,Straight,
1646,Straight,
1647,Straight,
1648,Straight,
1649,Straight,
1650,Straight,
1651,Straight,
1652,Straight,
1653,Straight,
1654,Straight,
1655,Straight,
1656,Straight,
1657,Straight,
1658,Straight,
1659,Straight,
1660,Straight,
1661,Straight,
1662,Straight,
1663,Straight,
1664,Straight,
1665,Straight,
1666,Straight,
1667,Straight,
1668,Straight,
1669,Straight,
1670,Straight,
1671,Straight,Straight
1672,Straight,
1673,Straight,Straight
1674,Straight,Straight
1675,Straight,
1676,Straight,Turn Right
1677,Straight,
1678,Straight,
1679,Straight,
1680,Straight,
1681,Straight,
1682,Straight,
1683,Straight,
1684,Straight,
1685,Straight,
1686,Straight,
1687,Straight,
1688,Straight,
1689,Straight,
1690,Straight,
1691,Straight,
1692,Straight,
1693,Straight,
1694,Straight,
1695,Straight,
1696,Straight,
1697,Straight,
1698,Straight,
1699,Straight,
1700,Straight,
1701,Straight,
1702,Straight,
1703,Straight,
1704,Straight,
1705,Straight,
1706,Straight,
1707,Straight,
1708,Straight,
1709,Straight,
1710,Straight,
1711,Straight,
1712,Straight,
1713,Straight,
1714,Straight,Turn Right
1715,Straight,
1716,Straight,Turn Right
1717,Straight,Turn Right
1718,Straight,
1719,Straight,
1720,Straight,
1721,Straight,Turn Right
1722,Straight,
1723,Straight,Turn Right
1724,Straight,Turn Right
1725,Straight,
1726,Straight,
1727,Straight,Turn Right
1728,Straight,Turn Right
